,0
666,0ba263e6-ffbe-4b8b-b620-e457483e5b7a
1140,553eaf26-9b48-4720-bc52-1a0cee56b238
1244,6a7cf8b1-b3e6-4331-a74a-2cbda7d5367b
1297,03f22451-112e-4a4c-ad4d-2f0045a95802
1298,1409f666-b38c-4aaa-bd29-2d5a528b6733
2599,04f94269-e29f-432a-a0cd-44f1c63c18c8
2602,4ec9d569-8925-4dbf-937b-ed4ae1b78739
4368,a526a2bf-8863-41eb-8067-30e608bb8d81
4426,190ab760-cec2-4f8a-8412-a991d980ecb5
4697,03757044-b9ea-4072-945b-87062d9284d1
5234,709c9716-1f37-46c3-a984-1829c09f67e3
6189,1b8ca02e-db5f-4597-961e-8ba081e109d2
9321,93902f22-c4a5-4db2-a894-a92a01e4e690
9419,1b85225f-b309-4bd2-90fc-9266d256ec56
9519,26536912-be91-4677-b777-7432820e1cc2
9524,65c371a5-b3b7-4c72-a12b-b5cb4e0577fa
9740,f1b679e5-ba74-45ba-ade1-367bf4129c3f
9856,78dc3ce4-c92c-4640-bde0-abd0315a389a
9894,9269fc1e-40e6-4397-8418-ea1458293f8a
9905,0450a584-b6ba-4d8b-85a1-e01d787ee021
10718,d1c6d11f-f434-40fb-99bd-e578bf52d98c
10941,1d6429cc-ac80-4d41-aac6-3f54c7d492b7
11210,07d9fbd9-bcba-4389-9c7e-3f00fe43d7ff
11216,bfebbc66-db28-4838-89dd-d10f51b9bf6e
11232,05d68bf3-bbf3-493d-8411-4fc5186fbf8d
11434,60aa0f25-5b2b-477a-80a3-a4cd86c1af24
11791,f29f8219-cfd4-4a61-84d4-7d0e1c647a3a
12023,2c6bce0c-e602-4309-a98b-f42963c8ee75
12071,87bd60f0-18a8-4f71-95d4-ad79a4d4996e
12094,0b5e76e4-4283-420a-bbf2-8e368244059b
12460,22eac566-5fef-4204-ae9a-f2aaf9d5539f
12562,8acde5cf-1bb7-40fe-a45a-fe91b02c37cc
12604,6b16fffb-1d0a-4a05-b760-b9aa4ba02cd5
12607,f71967cd-14a5-444f-b92e-ea6e7f58d3cb
12882,30fd9831-c452-4b09-9a66-c36e2d5d8fc8
13384,4121cc60-d80c-4139-acdf-4dc80cd3dfec
13397,d107d08d-08e8-4ea0-bdc2-807b2406ae55
13611,3d140cbd-ec9a-4feb-b889-e7eb6bfe974f
13821,218e5ba3-2059-444a-b59e-455eb31a3e98
13860,30622e91-cd04-4b7e-a8fd-a4ce82899237
13861,5a7ac425-71a7-49f6-8f10-8e903e94158b
13908,4b41b5d4-58fa-4e69-bdba-c6a8ad81c409
13909,0c16897e-e74d-4092-9a40-db66168d20e6
14073,a989e51a-53b4-494e-8a73-2c6f4fe23fef
14079,dc6a30b4-cd60-4b59-82c3-002799beb1b0
14082,51515b08-a956-4847-9028-4dc086d0b3d8
14085,c8e44084-1889-46cd-b4ca-d86a9bed7cea
14783,80f95917-3384-4b08-b580-17f531dfc4d3
15519,e77ba429-b483-422e-ac94-3ad0833b3bfa
17239,fb3e93e1-9654-4b63-806d-b04300f6e408
18387,3cdfbbd7-b368-43f3-985e-2e9b101fecc6
